,min,max,mu_baseline,mu_acute,sigma_baseline,sigma_acute
LVEDV,10.0,200.0,48,52,9,16
LVESV,0.0,200.0,19,15,5,5
LVEF,0.0,1.0,0.61,0.71,0.07,0.06
LVEDP,0.0,40.0,9,14,3,2
MAP,25.0,250.0,100,96,11,16
EDWthLfw,2.0,50.0,7.5,7.4,0.3,0.9
LVRF,0.0,1.0,,0.36,0.13,0.13
